iter	Passed	Remaining
0	79	79769
1	93	46657
2	104	34736
3	113	28171
4	134	26823
5	151	25154
6	165	23408
7	182	22590
8	194	21393
9	201	19963
10	215	19352
11	229	18925
12	236	17932
13	247	17396
14	265	17450
15	279	17204
16	289	16753
17	300	16401
18	309	16000
19	318	15606
20	327	15268
21	339	15087
22	344	14649
23	356	14488
24	361	14083
25	369	13823
26	377	13603
27	386	13424
28	393	13182
29	407	13184
30	413	12921
31	423	12813
32	429	12578
33	444	12635
34	452	12482
35	457	12254
36	474	12339
37	484	12264
38	500	12330
39	507	12183
40	520	12163
41	533	12158
42	541	12062
43	552	12000
44	562	11927
45	573	11895
46	586	11894
47	596	11839
48	610	11840
49	640	12176
50	662	12332
51	679	12386
52	692	12369
53	720	12624
54	752	12921
55	775	13079
56	803	13296
57	810	13160
58	817	13032
59	827	12962
60	833	12827
61	848	12831
62	863	12846
63	878	12845
64	887	12759
65	892	12636
66	898	12508
67	906	12418
68	920	12417
69	930	12358
70	938	12279
71	944	12171
72	951	12087
73	958	11989
74	970	11972
75	978	11902
76	990	11868
77	998	11801
78	1006	11734
79	1016	11692
80	1022	11598
81	1032	11556
82	1037	11462
83	1046	11411
84	1051	11319
85	1057	11234
86	1068	11211
87	1077	11166
88	1087	11136
89	1098	11103
90	1110	11096
91	1118	11034
92	1125	10974
93	1131	10907
94	1142	10884
95	1150	10837
96	1163	10828
97	1172	10790
98	1179	10731
99	1189	10703
100	1196	10649
101	1204	10602
102	1213	10567
103	1224	10552
104	1237	10552
105	1245	10501
106	1253	10457
107	1259	10402
108	1268	10366
109	1274	10308
110	1286	10303
111	1294	10261
112	1304	10236
113	1310	10183
114	1320	10158
115	1330	10142
116	1335	10082
117	1345	10060
118	1355	10033
119	1364	10006
120	1373	9979
121	1382	9949
122	1389	9905
123	1398	9880
124	1403	9827
125	1414	9809
126	1421	9770
127	1428	9734
128	1438	9711
129	1450	9709
130	1476	9794
131	1485	9766
132	1502	9792
133	1515	9797
134	1525	9775
135	1540	9788
136	1552	9777
137	1565	9778
138	1578	9776
139	1599	9828
140	1617	9851
141	1626	9829
142	1639	9825
143	1653	9831
144	1669	9844
145	1679	9822
146	1689	9805
147	1696	9767
148	1705	9738
149	1721	9757
150	1729	9723
151	1738	9700
152	1746	9669
153	1754	9641
154	1761	9601
155	1773	9592
156	1779	9553
157	1792	9553
158	1801	9528
159	1809	9502
160	1821	9490
161	1831	9471
162	1843	9466
163	1853	9447
164	1864	9437
165	1872	9408
166	1880	9381
167	1885	9339
168	1891	9300
169	1901	9281
170	1907	9248
171	1916	9224
172	1924	9197
173	1933	9180
174	1946	9175
175	1951	9136
176	1965	9141
177	1972	9110
178	1981	9088
179	1990	9066
180	1998	9044
181	2005	9014
182	2014	8992
183	2020	8958
184	2032	8954
185	2043	8943
186	2054	8931
187	2062	8906
188	2079	8921
189	2086	8893
190	2099	8893
191	2110	8880
192	2115	8843
193	2120	8808
194	2128	8787
195	2138	8771
196	2147	8753
197	2152	8718
198	2162	8703
199	2169	8679
200	2184	8684
201	2192	8660
202	2203	8649
203	2213	8638
204	2219	8609
205	2231	8600
206	2241	8587
207	2247	8558
208	2257	8545
209	2267	8531
210	2279	8525
211	2286	8500
212	2297	8487
213	2303	8461
214	2309	8431
215	2315	8404
216	2328	8402
217	2339	8393
218	2347	8370
219	2357	8356
220	2367	8345
221	2376	8327
222	2386	8315
223	2393	8290
224	2400	8269
225	2407	8243
226	2414	8221
227	2418	8190
228	2427	8171
229	2438	8163
230	2445	8141
231	2455	8130
232	2461	8101
233	2468	8081
234	2476	8062
235	2490	8061
236	2498	8044
237	2515	8054
238	2521	8028
239	2530	8012
240	2537	7992
241	2546	7976
242	2552	7950
243	2558	7927
244	2568	7915
245	2578	7904
246	2587	7887
247	2602	7892
248	2608	7868
249	2617	7853
250	2628	7843
251	2636	7825
252	2644	7809
253	2651	7788
254	2659	7771
255	2664	7745
256	2670	7719
257	2679	7707
258	2693	7706
259	2699	7684
260	2705	7661
261	2713	7644
262	2725	7637
263	2733	7621
264	2743	7609
265	2749	7587
266	2758	7573
267	2765	7552
268	2772	7533
269	2781	7520
270	2791	7509
271	2797	7488
272	2805	7470
273	2811	7450
274	2818	7431
275	2829	7421
276	2839	7412
277	2850	7403
278	2859	7388
279	2866	7371
280	2876	7361
281	2887	7352
282	2898	7343
283	2909	7334
284	2918	7322
285	2925	7302
286	2938	7299
287	2974	7352
288	3009	7404
289	3031	7421
290	3064	7465
291	3085	7481
292	3104	7491
293	3119	7490
294	3136	7496
295	3158	7512
296	3175	7516
297	3188	7512
298	3199	7502
299	3208	7485
300	3219	7475
301	3230	7467
302	3238	7449
303	3246	7433
304	3253	7414
305	3268	7413
306	3285	7416
307	3292	7397
308	3300	7379
309	3310	7367
310	3319	7354
311	3327	7336
312	3336	7323
313	3353	7327
314	3371	7332
315	3383	7323
316	3399	7325
317	3412	7317
318	3429	7321
319	3444	7319
320	3454	7306
321	3484	7336
322	3495	7325
323	3505	7314
324	3516	7303
325	3530	7298
326	3540	7286
327	3553	7280
328	3566	7273
329	3573	7255
330	3587	7251
331	3603	7249
332	3610	7231
333	3618	7214
334	3629	7204
335	3636	7187
336	3647	7176
337	3654	7158
338	3663	7143
339	3674	7133
340	3683	7117
341	3700	7118
342	3712	7111
343	3720	7094
344	3729	7081
345	3744	7078
346	3758	7072
347	3774	7072
348	3786	7062
349	3798	7053
350	3810	7045
351	3821	7034
352	3835	7030
353	3850	7026
354	3864	7020
